domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,240,518,277,2.158333333333333,79.3875,222,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,185,222,148,1.2,44.5945945945946,185,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,185,592,185,3.2,298.56216216216217,148,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,166,259,166,1.5602409638554218,138.06626506024097,185,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,148,407,92,2.75,105.86486486486487,129,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,148,462,37,3.1216216216216215,409.2027027027027,185,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,129,573,129,4.441860465116279,205.05426356589146,148,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,166,55,1.4954954954954955,51.32432432432432,111,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,351,55,3.1621621621621623,382.45045045045043,55,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,1184,74,10.666666666666666,793.4054054054054,166,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,111,18,1.0,393.45045045045043,74,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,203,92,1.8288288288288288,7.333333333333333,129,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,111,407,166,3.6666666666666665,136.981981981982,129,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,277,74,3.010869565217391,505.4673913043478,111,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,370,37,4.021739130434782,279.4782608695652,111,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,92,92,1.0,0.0,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,1165,92,12.66304347826087,93.08695652173913,74,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,259,166,2.8152173913043477,17.695652173913043,148,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,666,37,7.239130434782608,867.1847826086956,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,92,92,1.0,0.0,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,166,92,1.8043478260869565,8.043478260869565,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,92,166,55,1.8043478260869565,273.8478260869565,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,74,185,18,2.5,371.4594594594595,74,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,74,92,74,1.2432432432432432,50.5,55,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,74,499,18,6.743243243243243,434.94594594594594,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,74,111,92,1.5,3.0,92,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,55,74,37,1.3454545454545455,2.690909090909091,55,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,55,425,37,7.7272727272727275,968.2727272727273,55,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,55,166,18,3.018181818181818,789.0181818181818,37,
